dataset,model,accuracy,macro_f1,loss,total_params,trainable_params,active_params_estimated,active_param_ratio,dense_equivalent_flops,effective_flops,cpu_latency_p50_ms,cpu_latency_p90_ms,cpu_latency_p95_ms,cpu_latency_p99_ms,cpu_latency_mean_ms,cpu_throughput_samples_per_s,preprocess_policy,flow_leakage_count
CipherSpectrum,deep_packet_cnn,0.05625167815268952,0.0025978508312812652,3.582980069138525,10108641,10108641,10108641,1.0,218811691,218811691,2.399599999999946,2.732499999999627,2.8444699999997654,3.0649200000000354,2.4394107000000176,924.1308432098314,remove_eth; mask_ipv4_ipv6_to_zero; mask_tcp_udp_ports_to_zero; omit_dns_and_empty_tcp_control; mask_tls_clienthello_sni_to_zero; mask_label_domain_ascii_occurrences; pad_or_truncate_to_1500_bytes,0
cstnet_tls_1.3,deep_packet_cnn,0.6561549164852802,0.030476288547552025,16.925338198823237,10107876,10107876,10107876,1.0,218810176,218810176,2.6705499999999383,2.949550000000567,3.040804999999702,3.219807000000099,2.7149136999999857,896.0537408231064,remove_eth; mask_ipv4_ipv6_to_zero; mask_tcp_udp_ports_to_zero; omit_dns_and_empty_tcp_control; mask_tls_clienthello_sni_to_zero; mask_label_domain_ascii_occurrences; pad_or_truncate_to_1500_bytes,0
